별점,날짜,리뷰
1.0,2026.02.08.,카운터 주인할머니는 싸가지 그렇다 쳐도 사장이 그러니까 밑에 조선족애들도 겁나 싸가지없네 진짜 ㅋㅋ맛도 갈수록 그냥 밍밍한 빨간물이고 뚝배기를 사람 앞에 안두고 그냥 테이블에 쳐 던지고가면 먹으라는거냐 보고있으란거냐 도대체? 다신 안간다 진짜로 ㅋㅋ
2.0,2026.01.30.,"옛날에 비해 너무 너프된느낌 ...
아쉽네요"
3.0,2026.01.27.,걍 ㄱㅊ은 감자탕집인데 성수에 바가지안쓰고 밥다운밥먹을데가 여기말고 딱히없음 줄 개빨리빠지니까 걍 여기서먹으셈
2.0,2026.01.26.,"흔한 감자탕집 맛입니다
근데 직원분들이 전반적으로 화가 나 계셔서 
가만히만 있어도 눈치가 보여요 ㅠㅠ..
수저 좀 주실수 있냐 했더니 “메..."
1.0,2026.01.25.,감자탕 기본에 한참 모자란데 유명해서 유명한 집
1.0,2026.01.12.,위생 최악에 맛도 그냥 그래요.. 직원들도 불친절하세요
1.0,2026.01.03.,"고기 부드럽지 않음
뼛가루 너무 많음
대자에 뼈 6개;;
맛없음.. 우리 집 근처 할머..."
4.0,2025.12.29.,다들 줄서서 먹을꺼 까진 아니다 하는데 막상 다른데 어디가 더 맛있는데? 물으면 아무도 답을 못한다 ㅎㅎ 왕십리 맛집도 성시경이 가서 줄서대고 갈집이 없다
1.0,2025.12.21.,진짜 맛업슨ㅜ 나오는길에 줄서는 사람들 다 말리고 싶은맛
1.0,2025.12.20.,국물은 너무 싱겁고 소스는 와사비맛 나고 우거지도 조금들었고 뼈에도 살이별로 없고 가격도 비싼편이에요
2.0,2025.12.19.,음 숟가락에 고춧가루같은 소스가 묻어있어서 바꿨는데 또 묻어있어서 또 바꿨구요 제대로 된 안내가 없어서 바로 먹어야 되는 건지도 모르겠고 사람이 너무 많아서 다 먹고 조금만 앉아있어도 자꾸 쳐다보세요 잠깐 얘기하는데 다 먹었냐고 물어보시더니 그냥 ...
1.0,2025.12.16.,"맛이나 친절은 개인차가 있을 수 있다고 생각하기 때문에 따로 적지 않겠습니다만
위생은 확실히 문제가 있어요....
콜라 시켰는데 컵에 고춧가루랑 얼룩 있..."
4.0,2025.12.16.,"가성비 좋은 곳이지만 줄 설 정도는 아니라고 생각..
늦은 저녁엔 추천해요"
2.0,2025.12.15.,그정도 아니에요..
1.0,2025.12.14.,처음먹어봤는데 여자친구랑 먹고 몇시간뒤에 둘다 토함. 이유는 모름.
1.0,2025.12.14.,"정말 최악 이네요 어떻게 관리 하시는 거죠?
맛은 그렇다 쳐도 사람 밥먹으러 왔는데 
먹기 전에 기분 나..."
1.0,2025.12.13.,여기 관광객들 등쳐먹는 느낌임ㅋㅋㅋ조선족 아줌마들 메뉴판 볼 시간 안주고 감자탕 대중소???어떤거??이러고 외국인들은 전부 감자탕시키게함ㅋㅋㅋ한국사람이면 속지말고 감자국(식사) 일반/우거지중에 시키셈ㅋㅋㅋㅋ가격차이남ㅡㅡ기분 개더러워짐
1.0,2025.12.13.,약간 헛소문? 헛소문이 난거같네요
3.0,2025.12.07.,불친절 그러나 먹어보면 준수한 맛
1.0,2025.12.05.,"다시는 경험하고 싶지 않은 불친절
기분 좋게 밥 먹으러 와서 웨이팅까지 했지만
아주머..."
1.0,2025.12.04.,"혼자 밥 먹으러 왔는데 왜인지 모르겠는데 대기 시켜두고 계속 다른 팀 먼저 들여보내주더라고요
추워도 금방 빠지길래 기다렸는데 앞에 4팀이 가도 안 부르는 거 보고 그냥 나왔습니다 ㅋㅋ
혼자 드실 분들은 참고하세요"
1.0,2025.12.04.,직원들 불친절 최악 ㅋㅋ 이럴 거면 줄서서 왜 기다리나요 지들 맘대로 순서 정할 거면 안그래도 추워죽겠는데 열받아서 나왔어요
1.0,2025.12.02.,"불친절,위생 다 떠나서 맛이 너무 없음 .. 동네 기본 감자탕 맛도 못 따라감 간이 너무 슴슴함 진짜 짜증나서 먹다가 나옴"
1.0,2025.11.28.,"고기 뻣뻣해서 먹기 힘들고 직원들 불친절하고 매장 더럽고 전체적으로 간이 슴슴해요
최악..."
1.0,2025.11.25.,아 평점 믿을걸..
2.0,2025.11.25.,".....유명하다고 하는데 평점이 왜이럴까 했는데
역시 믿고 보는 카카오맵 리뷰"
2.0,2025.11.23.,고기 뻣뻣하구 국물은 평범해요. 옛날엔 고기가 더 부드러웠대요~
2.0,2025.11.22.,소주 2병.
3.0,2025.11.21.,걍 그런데 왜 줄서서 먹는건지
2.0,2025.11.19.,"직원이 불친절해서 제법 불쾌합니다~
그릇도 던지시고 대답도 없고 앉아있는 의자 몸으로 치고 갑니다.
음식도 비위생..."
2.0,2025.11.17.,맛없는데..
3.0,2025.11.13.,포장만해서 먹어요
5.0,2025.11.13.,"6번 정도 왔던 것 같음
정말 맛있는 감자탕 맛임
사실 감자탕이 거기서 거기 아니겠냐마는..."
1.0,2025.11.08.,최악의 악. 한가한 시간에 가도 손님 아는척도 안하다가 주문 안하냐고 화냄. 외국인관광객들 많던데 내가 다 부끄러울 정도의 위생과 맛. 위치빨
1.0,2025.11.02.,"존1니 싸가지 없어요 손님 때리고 소리 지름
본인 바쁘고 힘든 거 손님한테 ○○○○로 푸는 곳 ^^

친..."
1.0,2025.10.23.,"맛 변했음.
도때기시장.
중국인 천지"
4.0,2025.10.17.,"전반적으로 몇십분씩 기다려서 먹을 정도는 아니구요..
1. 고기 찍어먹는 소스(양파,고추 들어간)
2. 수제비 시키면 직접 손으로..."
1.0,2025.10.09.,불친절로 소문나긴함
1.0,2025.10.05.,직원분이 정말 싸가지가 없네요 항상 사람 많고 웨이팅 있어서 궁금해서 왔는데 다시는 안오고싶네요
4.0,2025.10.03.,"줄이 길어도 웨이팅 금방 빠져서 좋아요
감자탕 자체의 맛은 무난한 느낌인데 찍어 먹는 소스 맛이 미쳤어요"
4.0,2025.10.02.,"감자탕 이집만 갔었는데,
웨이팅 때문에 못가요…
시스템을..."
3.0,2025.10.02.,"소문만큼 그렇게 맛있지 않고,친절하지도 않아요"
1.0,2025.09.30.,"일단 직원분 싸가지 없음. 맛있다고 해서 나름기대도 하고, 뭔가 감자탕계의 랜드마크 맛 아닐까 생각하고 갔음. 하지만 국물은 떫고 밍밍한 맛이었음. 거기다 묘하게 쓴맛도 남. 그리고 고기 누린내 나고 고기는 푸석함. 그래서 먹다가 밥도 대부분 남기고 나옴. 앞으론 다시 갈일 없을듯."
3.0,2025.09.30.,"예전엔 맛잇어서 줄서서먹엇는데 다시가니까 입이 엄청 텁텁하고 고기 질이 별로예요,,, ㅠㅠ"
4.0,2025.09.30.,자극적이지않고 담백하니 너무 좋네요!
2.0,2025.09.18.,"걍 맛 평범함 국물 밍밍하고 기대한것보다 별로임..
오이 더 달라했는데 고추 갖다주심..여기 줄서서 먹을바엔 걍 동네 감자탕집 감"
1.0,2025.09.17.,"감자탕 먹는데 웨이팅하는 것부터 좀 킹받지만 참고 기다렸는데
고기가 상한건지 쓴맛나고 맛이 없어서 몇숟갈 제대로 먹지도 못했고 양은 양대로 적고 감자탕 2인분에 가격도 꽤나 하는데 우거지는 ..."
2.0,2025.09.16.,중~하 정도의 맛 .. 대기 안하고 먹었는데 중하였음 밍밍한데 물이 자꾸 땡기는 맛이라 신기
4.0,2025.09.15.,진짜 너무 맛있어요 수제비사리 는 꼭 입니다
3.0,2025.09.15.,주말 11시쯤 방문했고요. 웨이팅 꽤 있었으나 일행이랑 다 같이 있었어서 운좋게 바로 입장했습니다. (일행 다 안왔으면 뒷사람한테 차...
2.0,2025.09.12.,"솔직히 줄서서 먹을정도는 아닌거 같은데., 
공기밥 2천원은..."
3.0,2025.09.12.,"흐으음.... 수제비때문에 감자탕을 먹어야되나
맛 자체는 뚝배기로 나오는게 더 맛있는 느낌
근데 줄서서 먹을만한 곳인지는 잘 모르겠습니다"
3.0,2025.09.11.,"기대를 하지 않았지만 큰 기대를 할 필요 없었던 곳
정말 무난한 감자탕이지만 너무 번잡해서 불편했다
다만! 감자탕 특유의 조미료향이 더부룩하게 남는 경우가 많은데 여기는 깔끔했다"
4.0,2025.09.11.,중국인들만 가득함
2.0,2025.09.10.,"서비스별로임. 위생 의심되는 수준.
중국인 일본인이 더 많은느낌. 양은 많은 것 같지만 12000원 일반 감자탕 가격이라고 ..."
3.0,2025.09.09.,소문이 왜 났을까
1.0,2025.08.26.,"극 평범한 감자탕 .. 웨이팅 없이 들어와서 다행이지 
기다렸으면 화날뻔 .. 
걍 감자탕 맛이에요 무난무난 극무난 
직원분들이 아무런 대..."
4.0,2025.08.23.,맛집 인정
1.0,2025.08.21.,"진짜 외국인들한테 제발 여기만은 가지말라고 뜯어말리고 싶은 곳. 
성수동 갈 때마다 사람들 줄 서있어서 얼마나 맛있을까하고 호기심에 가봤으나 식당이 화를 불러 일으키게 만드는 재주가 ..."
2.0,2025.08.15.,"약간 맑고 심심한 맛
웨이팅 값어치는 없어요, 근데 뼈해장국 비조리로 포장하면 가성비는 괜찮은듯해요"
1.0,2025.08.14.,"먹고있는데 계속 왔다갔다하면서 다 먹은거냐 물어보고
맛도 ..."
1.0,2025.08.11.,"맛있는 음식을 찾아 땡전을 꼬나박고 있는 중생들에게 뼈해장국 찐 맛집을 알려주마..
진짜 맛집은 경기도 광주 시..."
3.0,2025.08.07.,"맛있긴 한데 특별한 맛은 아니에요!
근데 무엇보다 감자가 한알???ㅠ;;;실화?? 심지어 애기 주먹만함ㅜㅜ 시래기도 너무 적어요!!!!😡"
4.0,2025.08.07.,구수하면서도 시원. 연한 고기와 시래기의 조합 굿.
1.0,2025.08.06.,왜소문남?
5.0,2025.08.06.,"뭔가 디게 구수하고 담백하고 맛있음
난 이상하게 감자국이 더 맛나게 느껴져서 감자국으로 먹지만 여럿이면 전골로 해야 쫄깃한 수제비 먹을수 있다는 점"
2.0,2025.08.01.,줄서서 먹을 정도는 아니고 솔직히 감자탕보다 뚝배기 해장국이 나아요 저녁 시간에는 인당 주문한다고 해도 감자탕 대자 강요하더군요 수제비가 별미갔지만 그냥 그래요 뚝배기 해장국은 추천 감자탕은 비추네요
5.0,2025.07.31.,"2025년 07월 31일 - 새벽 2:30

야~~~~ 그놈
솔직히 말씀드리면, 너무 시끄려워
이곳이 술을 함께 파는 음식..."
1.0,2025.07.30.,왜소문난거임?. . 뻑살 좋아하면 좋아할수도..
1.0,2025.07.24.,반찬 재활용하시고 맛도 평균 이하에요.......
2.0,2025.07.22.,고기는 먹을만한데 국물이 많이 짜고 우거지가 질기다
3.0,2025.07.18.,기대가 컸는데 그냥 평범한 맛이였습니다. 오히려 가게가 너무 바쁘고 사람이 많아서 굳이..?
2.0,2025.07.15.,"짜다는 후기가 있던데 내껀 싱거웠던걸 보니 간이 들쑥날쑥 관리가 안되는건가 싶다. 
한국인보다 외국인이 많이 오던데 기왕 관광온거 맛있는거 먹고 가면 좋을려만 쨔끔 아쉽다"
1.0,2025.07.13.,"나만 그런게 아니었네 뼈를 어케 관리하는지 모르겠지만
뼈도 안갈라지고 살도 안발리고 총체적 난국구루국국임
옆에서 우마이우마이하며 먹는 일본애들이 애처로워보였음다"
2.0,2025.07.08.,"소문난집에....솔직히 그저 평범하고, 고기는 많으나 잘 뜯기지도 않고..."
3.0,2025.07.07.,웨이팅할정도 맛은 아닌데 관광코스가된듯ㅎ
1.0,2025.07.01.,"오랜만에 가봤는데, 손님이 엄청 많아졌네요.
그 탓인지 주문량이 많으니 간이 하나도 베어있질 않네요.
정말 밍밍..."
5.0,2025.06.30.,"미친 개맛있는 감자탕
근데 공기밥 2000원은 좀 개빡치긴함"
4.0,2025.06.30.,넘 많은 방문인들로 인해 불편함
5.0,2025.06.27.,전.. 맛있던데….츄룹
1.0,2025.06.25.,"양 많은 건 인정. 근데 위생이 전혀 믿음이 안 가서 이제 안 갈 예정. 본관 사람 풀이라 바로 별관으로 갔는데, 그냥 지나가는 통로에 놓여져 있는 빨간육수 가득 들어 있는 큰 통들 널부러져 있고.. 그때부터 어? 이건 좀 아닌데 싶었음. 저렇게 아무렇게나 사람들..."
4.0,2025.06.21.,"저는 친절하고 양도 많고 맛있었어욤
고기도 부드럽고!
근데 원래 그..."
3.0,2025.06.21.,"맛은 그냥 배달 감자탕이랑 크게 다를 거 없음
회전율은 되게 빠름
뭐 접대 나는 바쁠 때 아니었어서 그런가 문제 될 건 없었어서 3점"
1.0,2025.06.21.,굳이 너네 아니어도 외국인 관광객들 많이 와서 장사 잘된다 이런 마인드인지 불쾌하게 응대함. 심지어 한국어 모르는 외국인 관광객들에게 의사소통 안되니 짜증냄.
1.0,2025.06.18.,"리뷰 첨 써보는데 여기 직원분들중에 피부 어둡고 키 작으신분,,다른 손님이랑 카운터에서 막 싸우시고 저희 테이블 결제할때 보니까 말투나 태도 그냥 싸우자는투였어요. 맞는 일 찾아서 하세요. 남들 피해주지마시고. 맛, 가격 다 별로였음 그냥 가지마세요."
1.0,2025.06.16.,대체 왜 인기 있는지 모르겠는 집
3.0,2025.06.15.,"성수 위치 때문이지 가격에 비해 양은 많지 않는건 이해하지만 맛은 그냥그럼 

동네에 아무 감자탕 가는게 나..."
3.0,2025.06.14.,"주말인데 사람도 많지 않았고 그런데도 직원들 빨리빨리 호들갑떠는것 보니 슬슬 거품 꺼지는구나 싶음
고기도 퍽퍽하고 양도 엄청많은지도 모르겠고 가격도 비싸고 수제비가 4천원임
솔직..."
2.0,2025.06.09.,"유명해서 기대했는데 감자탕치고 너무 느끼해서 실망..맛이랑 별개로, 별관으로 안내받았는데 입장하자마자 맛있는 음식 냄새가 아니라 대걸레 냄새같은 불쾌한 냄새가 나서 기분이 좋진 않았어요.."
3.0,2025.06.04.,"갈라다가 리뷰보고 안갑니다, 사이즈가 외국인 온리 간판 붙여야될거같은데요, 호구들 소리질러,"
1.0,2025.05.24.,물가 올라서 감자탕가격 올린건 이해되는데 공기밥2000원 300원짜리 라면사리 3000원 공기밥에 김가루 뿌려주는 볶음밥 4000원 가격 선넘음 욕나온다
5.0,2025.05.24.,뚝배기 넘 맛있음!!
2.0,2025.05.22.,줄 서서 먹을 곳은 아닌 거 같음.
1.0,2025.05.18.,"너무 노맛
뼈 덜삶아서 떨어지지도 않음"
1.0,2025.05.18.,"정말 냄새 나고 맛 없습니다
서빙하시는 아줌마들 불친절합니다..."
1.0,2025.05.17.,"소문났어요!
맛없다고 소문났어요 가지 마세요 ㅠㅠ
냄새 엄청 나고 직원들 불친..."
3.0,2025.05.11.,"맛도 평범하고 크게 특별한 곳이 없는데 왜 유명한지 모르겠어요
사람도 너무 많고 좌석 간격이 좁아서 직원분들 감자탕 냄비 서빙할 때마다 불안하고 의자에 걸어..."
1.0,2025.05.06.,맛없기로 소문난 감자탕! 맛없고 가성비 별로고 위생도 별로인데 김치는 중국산 근데 불친절해! 이렇게 별로인데를 줄서서먹으면 땅을 치고 통곡할듯
1.0,2025.05.06.,사람수에 따라 감자탕 사이즈가 정해져있고 시끄러워요
1.0,2025.05.02.,"불친절에 맛도 그냥그래~ 원산지 표기가 없어서! 
계산할때 김치어디꺼냐고 물어봤떠니..
((((..."
1.0,2025.05.02.,복잡고 맛 없습니다.
3.0,2025.04.27.,슴슴한 맛 개인적으로는 호. 고기 양은 많은데 질김. 감자탕 고기가 질길 수 있구나 라는걸 처음 알았음. 분위기 매우 시끄러움. 주차는 편함. 뭘 먹다가 돌이 있는건지 아작 하는 소리가 남. 참 애매하다
1.0,2025.04.23.,"맛없기로 소문났나
노맛"
2.0,2025.04.20.,왜케 맹탕이지 밍밍해요
5.0,2025.04.17.,줄 길어도 금방 빠짐 수제비 필수
1.0,2025.04.12.,"예전에 방문했었을때 괜찮았어서 재방문했는데요
너무너무 실망했음.......
어째서........ 감자탕 특유의 칼칼한맛 매운맛 하나도 ..."
1.0,2025.04.11.,여기를 왜 줄서서 먹는지 잘 모르겠습니다…
1.0,2025.04.08.,"아줌마 개불친절. 손님이 자기보다 젊다고 아래로 보는듯. 말하는 게 굉장히 무례함. 
그리고 맛은 싱겁고, 고기양도 별로 없고 질기기까지한 감자탕임. 
왜 이정도로 유명해지고 줄도 ..."
1.0,2025.04.04.,그냥 평범 혹은 그 이하
5.0,2025.03.27.,맛있어요
1.0,2025.03.26.,"별관에서 식사 / 고기도 퍽퍽하고 대충 자른 티 남
고기 떼기어려워서 비닐장갑 요청하고 먹음(그래도 잘 안발라짐..) 외국인 관광객이 많아 그쪽 신경쓴다고 불친절함. 그리고 가..."
1.0,2025.03.26.,난 진짜 모루겠음.. 그냥 평범..어쩌면 그 이하
1.0,2025.03.22.,"이걸 왜먹는거임….?
가격에 비해 양도 없고 맛도없고 고기도 질기고;
돼지냄새 심하고 고기는 퍽퍽하고 뼈에서 잘 떨어지지도 ..."
1.0,2025.03.17.,"그래도 2년인가 3년전에는 먹으면 오 그래도 명성 있을만 하네 정도였는데

이젠 왜 안망하는..."
4.0,2025.03.15.,성수동이 뜨기전엔  참 괜찮은 맛집이었는데  최근 2번  같는데  영  그전 맛이  아니더라구요  그데  오늘 25.03.15 사장님께실때  모처럼  방문했는데 역시  그옛날만  그대로  아주 진득한  맛이 ...  굿굿.....
3.0,2025.03.14.,"딱히 특색 없는 맛+도떼기시장(정신 하나도 없음)
멀리서 굳이 갈 필요 없습니다. 마포구에서 여기까지 가본 후로, 감자탕 땡기는 날에 저는 동네 조마루 갑니다."
5.0,2025.03.10.,"맛있어서 웨이팅한게 아깝지않았음
수다떨면서 느긋하게 먹을 분위기가 아니라 후루룩 먹고 빨리빨리 나가줘야하는 분위기라 그런지 줄 되게 길었는데 생각보다 금방 들어감 회전율 빠름"
1.0,2025.03.10.,왜 많이가는지 전혀 모르겠다
1.0,2025.03.08.,"줄이 길게 서있길래 맛집인줄 알고 먹음
그런데 경험해보니 최악 중에 최악
짧게 말하면 맛도 드릅게..."
1.0,2025.03.07.,"절대 다시 가고 싶지 않음
뼈에 잘은 살만 붙어있고...
안뜯어지고....."
4.0,2025.03.04.,맛있네요 근데 기달는데 좀 추우
1.0,2025.03.04.,"I've been living in Korea for almost 10 years and this is my first time at a Korean restaurant like this. 
Whenever they see forei..."
3.0,2025.03.02.,영등포역 앞 스탠그릇에 뼈다귀 팔던 그 맛
2.0,2025.02.20.,소문난 집에 먹을 것 없다
5.0,2025.02.08.,포장으로먹으면 갸꿀 바로담아서주십니다
3.0,2025.02.06.,"평일엔 의외로 웨이팅 안 김
평상시엔 줄을 뭐같이 서있는 집이라 일부러 가서 먹어봤는데, 평범하다고 할 맛은 아님. 양이 많고, 고기 부드럽고, 막 자극적이지 않아서 충분히 맛있는 집. 그렇다고 평소 그 ..."
4.0,2025.02.03.,뭐랄까.. 장사가 잘 되어서 재료도 다 신선하고 수제비 같은 걸 시켜도 냉동 안 쓰고 직접 떼주시고 하여간 괜찮다! 다만 찾아갈 만한 ...
5.0,2025.02.01.,웨이팅이 길었지만 끓일수록 맛있었음
4.0,2025.02.01.,"평범한줄 알았는데, 다른 뼈다귀집 가니까
고기가 질겨서 안뜯김... 여기정도면 상급이다."
5.0,2025.01.30.,"맛에 비해 줄이 길다고는 생각하는데
어차피 줄은 금방빠져서 금방먹을수있구요
맛있고 술마시기 좋아요"
1.0,2025.01.30.,"주변에 오픈한 식당이 없어 예전부터 맛이 별로라 생각않고 갔지만,
종업원 불친절하고 청결한 느낌은 없으며,
소문난 특별한 맛은 없고,
..."
4.0,2025.01.29.,무난히 맛있는 감자탕 근데 웨이팅할 맛은 아님 근처 다른 감자탕집이랑 차별점 없음
3.0,2025.01.27.,그냥 진짜 평범한데... 특별히 맛있지도 않고... 왜 유명할까요? 태어났을때부터 성수동 살았었는데 방송 나오기전엔 간적도 없음...
3.0,2025.01.25.,절.대. 기다릴정도 아닙니다. 동네 감자탕집 더 맛있는 곳 훨씬 많아요.
3.0,2025.01.22.,"삶은정도가 약해서 살이 잘 안뜯어짐. 
감자탕은 평범. 
양념장이 맛있음. 황태집이랑 콜라보하면 대박날듯."
2.0,2025.01.17.,너무 불친절해서 맛있는지도 모르겠네요…
4.0,2025.01.16.,맛있음. 세상에서 제일 맛있는 감자탕은 아닌데 또 먹고 싶어짐. 수제비 존맛. 다음에 수제비 두번 추가할거임
2.0,2025.01.07.,"평범해요 맛이 정말로 평범
왜 줄서서 먹는거죠?"
